Rainfall,Temperature,Humidity,Fertilizer,Pesticide,Crop,Yield
152,37,68,54,12,Rice,4.52
171,36,62,114,15,Rice,6.59
201,20,61,92,6,Wheat,6.85
241,38,72,115,26,Rice,7.86
98,27,67,99,20,Maize,4.95
224,36,83,94,7,Rice,7.56
70,26,78,57,8,Rice,4.02
58,38,41,123,32,Maize,4.01
221,25,86,74,18,Rice,6.94
153,21,41,45,8,Wheat,3.84
195,29,73,113,40,Wheat,7.42
64,25,53,126,25,Rice,4.64
102,30,80,68,19,Rice,3.86
120,26,63,40,12,Maize,4.02
130,25,74,74,37,Maize,4.5
90,24,48,111,16,Wheat,4.57
200,22,74,83,26,Maize,6.89
150,32,53,42,5,Rice,4.05
191,24,66,48,19,Maize,5.04
173,30,90,102,36,Maize,6.74
145,21,69,140,27,Maize,7.28
220,21,52,71,11,Maize,6.81
77,19,81,84,10,Wheat,5.2
177,40,67,128,37,Rice,6.48
239,37,52,144,7,Maize,8.25
204,26,76,136,28,Maize,8.03
209,26,91,101,16,Wheat,8.03
180,34,76,95,21,Maize,6.51
179,39,62,140,36,Rice,7.23
175,19,92,83,30,Wheat,6.51
117,40,50,95,21,Maize,4.68
118,37,73,109,26,Maize,5.67
193,18,48,98,10,Rice,7.3
236,21,58,129,7,Maize,8.57
145,24,91,144,37,Maize,8.15
178,28,67,96,29,Wheat,6.79
91,20,46,55,30,Rice,3.31
162,19,40,87,16,Rice,6.13
58,26,74,58,20,Maize,3.5
103,18,63,114,12,Wheat,6.07
161,20,64,132,22,Wheat,7.49
103,20,55,100,40,Rice,4.48
191,38,87,59,12,Maize,5.91
177,18,87,115,26,Maize,7.5
207,23,77,148,12,Maize,9.01
70,18,67,150,37,Rice,5.88
97,36,43,74,21,Wheat,3.82
166,23,74,144,28,Rice,7.85
230,20,72,102,25,Maize,7.82
116,35,64,145,35,Wheat,6.4
153,31,63,71,26,Maize,4.59
204,27,41,129,21,Rice,7.12
225,24,68,81,30,Maize,6.79
201,30,46,96,40,Rice,5.91
57,31,55,53,16,Maize,2.27
141,19,41,71,27,Maize,4.28
202,39,61,88,10,Maize,6.1
237,22,72,47,9,Maize,6.21
158,37,69,86,39,Maize,4.89
193,30,89,145,34,Maize,8.75
112,36,67,97,30,Rice,4.43
111,40,48,51,5,Wheat,3.48
83,39,87,128,5,Rice,5.87
240,22,61,132,7,Wheat,8.89
135,31,67,108,34,Wheat,6.18
246,29,55,129,30,Rice,8.4
82,22,62,49,9,Wheat,3.14
187,36,71,40,9,Rice,4.49
73,33,94,41,32,Maize,3.23
189,35,74,72,37,Rice,5.7
150,29,42,104,37,Wheat,5.14
78,30,51,134,6,Rice,4.93
84,40,56,129,12,Rice,5.29
139,19,90,144,11,Wheat,8.23
124,21,64,60,40,Wheat,4.24
201,20,88,138,40,Wheat,8.47
145,40,71,76,16,Rice,5.02
72,20,80,69,21,Rice,4.11
161,39,52,98,23,Rice,4.96
238,26,58,115,13,Maize,8.66
177,37,58,150,20,Rice,7.11
189,37,60,139,27,Rice,7.01
230,27,78,53,35,Wheat,6.26
124,35,86,115,13,Wheat,6.46
194,23,46,85,17,Wheat,6.16
76,19,44,68,23,Rice,3.32
194,24,64,84,8,Wheat,6.85
68,29,93,78,31,Wheat,4.5
88,20,84,52,32,Wheat,3.44
249,26,78,40,7,Rice,6.37
240,34,64,95,37,Wheat,7.14
107,29,84,71,25,Wheat,4.96
213,20,58,59,22,Maize,6.3
63,32,70,40,7,Maize,2.06
61,27,71,55,12,Wheat,3.05
205,38,47,131,40,Wheat,6.94
109,35,67,131,40,Maize,5.85
194,26,72,123,17,Rice,7.43
84,23,57,108,29,Wheat,4.43
79,35,84,44,37,Wheat,3.12
226,28,60,65,29,Wheat,6.59
226,30,72,137,39,Maize,8.25
104,23,67,120,9,Maize,6.26
52,38,62,140,14,Wheat,4.7
134,31,48,149,5,Maize,6.59
53,18,88,143,36,Wheat,5.89
121,24,65,73,7,Maize,4.69
242,39,83,44,34,Wheat,6.21
194,33,86,62,19,Rice,6.07
115,28,90,142,38,Wheat,6.97
131,32,66,90,38,Rice,4.99
128,40,81,90,21,Rice,5.37
187,34,49,56,24,Rice,5.28
102,19,52,146,15,Maize,6.59
200,40,55,134,15,Wheat,7.57
181,25,43,95,29,Maize,6.41
204,35,90,58,25,Rice,5.82
219,39,60,109,5,Rice,7.2
139,31,73,88,18,Wheat,5.65
122,32,61,150,34,Maize,6.96
110,34,65,75,5,Rice,4.44
229,32,86,95,26,Wheat,7.73
127,19,84,65,18,Maize,4.98
56,20,86,62,22,Wheat,3.53
164,32,64,140,32,Wheat,7.22
66,24,61,129,29,Rice,5.0
74,21,49,106,22,Maize,4.66
83,32,47,79,23,Wheat,3.24
55,37,65,103,38,Maize,3.49
158,23,76,72,26,Rice,5.31
161,21,69,114,34,Maize,6.4
186,40,42,70,40,Maize,5.06
124,21,54,45,34,Wheat,3.9
234,19,54,114,12,Wheat,8.08
93,22,45,65,8,Maize,3.45
69,34,51,86,5,Wheat,3.84
87,22,50,139,17,Maize,5.95
183,35,95,49,9,Maize,5.59
179,30,79,41,24,Rice,4.59
122,34,48,114,19,Wheat,5.18
143,34,44,101,18,Rice,5.46
186,19,51,138,39,Rice,7.97
199,25,50,144,18,Wheat,8.45
214,22,58,117,30,Wheat,7.63
91,35,79,111,18,Maize,5.27
146,40,54,136,29,Rice,6.59
243,31,92,143,10,Wheat,9.48
228,25,81,103,19,Maize,8.2
204,21,68,77,37,Rice,6.29
232,18,43,125,6,Wheat,8.46
123,18,93,77,17,Maize,5.62
158,37,95,54,33,Rice,4.86
117,29,84,41,31,Maize,3.88
213,21,65,82,31,Rice,7.2
123,25,77,45,12,Maize,4.19
95,28,51,129,17,Wheat,5.1
160,25,82,115,40,Rice,7.31
121,27,88,131,35,Wheat,6.25
100,31,79,80,26,Maize,4.43
95,22,60,129,40,Wheat,6.03
50,39,94,79,19,Rice,3.38
102,26,49,91,30,Rice,4.02
74,28,77,41,11,Wheat,3.0
140,34,82,98,28,Rice,5.74
247,38,63,72,33,Maize,6.29
203,35,60,88,11,Rice,6.85
226,37,93,125,32,Maize,8.83
98,24,40,135,17,Wheat,5.93
172,36,71,69,33,Rice,4.7
79,33,79,58,22,Rice,3.64
224,35,41,131,34,Wheat,7.76
181,18,47,68,7,Wheat,5.58
159,19,72,126,32,Wheat,7.69
57,18,94,106,28,Maize,5.37
121,39,86,140,7,Maize,6.86
57,19,74,135,28,Wheat,5.73
95,28,55,107,25,Wheat,4.63
225,35,46,113,11,Rice,7.01
196,33,58,75,33,Wheat,6.07
96,22,59,50,6,Maize,3.75
189,37,44,76,34,Rice,5.06
221,20,91,125,28,Rice,9.28
169,31,62,135,21,Wheat,6.74
63,26,79,105,29,Maize,4.38
71,28,85,43,30,Wheat,3.39
147,40,76,114,10,Wheat,6.21
91,21,80,77,38,Rice,4.42
171,29,62,145,26,Rice,7.35
80,23,66,79,38,Rice,4.16
248,27,84,56,30,Rice,6.82
171,31,41,93,5,Maize,5.33
164,38,50,79,15,Rice,5.2
103,19,94,150,28,Wheat,7.04
105,18,75,150,24,Maize,7.24
130,30,82,137,13,Wheat,6.99
122,26,79,56,5,Rice,4.81
153,27,64,78,39,Maize,4.79
157,29,90,133,38,Maize,7.2
236,34,56,113,16,Wheat,8.17
132,25,70,60,21,Maize,4.85
247,25,64,121,29,Maize,8.75
158,32,71,49,20,Maize,5.07
75,38,61,46,18,Maize,2.6
186,36,87,111,27,Rice,7.05
165,24,74,57,21,Wheat,5.42
157,30,73,42,30,Maize,4.26
88,32,95,43,33,Wheat,3.16
210,33,84,81,6,Maize,6.89
83,40,52,52,22,Maize,2.01
95,37,68,101,33,Wheat,4.46
234,33,95,147,14,Wheat,9.45
152,37,44,104,34,Rice,4.83
191,35,43,57,29,Rice,5.11
122,32,88,127,8,Maize,7.1
110,22,82,109,28,Maize,6.35
202,24,91,43,12,Rice,6.22
166,36,84,149,14,Maize,7.57
218,34,42,45,9,Rice,5.23
226,26,74,59,39,Wheat,6.33
194,20,71,138,17,Rice,8.51
122,21,53,140,38,Maize,6.86
116,26,42,64,38,Wheat,3.97
89,22,50,98,38,Maize,3.97
182,33,65,57,10,Rice,4.95
77,22,52,120,36,Wheat,5.03
235,20,95,79,38,Maize,8.15
82,23,63,58,20,Rice,3.18
97,26,52,146,29,Rice,6.21
240,23,46,44,35,Maize,5.28
209,28,92,69,35,Wheat,6.94
126,29,78,105,36,Rice,5.83
162,26,56,143,35,Wheat,7.39
137,30,74,109,23,Wheat,5.58
112,32,69,76,33,Wheat,4.73
145,21,89,107,31,Rice,7.01
194,27,93,104,26,Wheat,7.09
99,31,86,68,16,Maize,3.97
174,29,46,68,15,Rice,4.95
128,36,50,97,27,Wheat,4.42
78,21,56,138,17,Rice,5.47
168,28,91,71,6,Maize,6.31
